1, 3, 8, 64, 1, 0, 1, 2
1, 3, 8, 64, 1, 0, 1, 2
2, 2, 5, 256, 2, 0, 1, 1
3, 1, 3, 256, 2, 0, 1, 2
4, 1, 6, 64, 2, 0, 1, 2
5, 0, 5, 64, 0, 1, 0, 1
6, 1, 2, 128, 0, 0, 1, 2
7, 3, 1, 256, 1, 1, 1, 1
8, 0, 8, 64, 2, 1, 1, 0
9, 3, 4, 256, 1, 1, 1, 0
10, 0, 1, 256, 2, 0, 0, 1
11, 2, 8, 128, 2, 1, 1, 0
12, 0, 3, 128, 0, 1, 1, 2
13, 1, 9, 128, 2, 1, 0, 2
14, 2, 8, 64, 0, 1, 0, 0
15, 2, 1, 64, 0, 0, 0, 2
16, 1, 3, 128, 1, 0, 1, 1
17, 1, 2, 128, 2, 1, 1, 0
18, 1, 2, 64, 0, 1, 1, 1
19, 0, 8, 64, 2, 1, 0, 2
20, 2, 10, 64, 2, 0, 1, 2
21, 3, 9, 128, 1, 0, 0, 1
22, 1, 2, 128, 2, 0, 1, 2
23, 3, 10, 64, 0, 0, 1, 2
24, 1, 5, 64, 1, 0, 0, 0
25, 2, 4, 64, 0, 0, 0, 1
26, 3, 2, 256, 2, 1, 0, 2
27, 2, 6, 64, 2, 1, 1, 0
28, 0, 1, 64, 2, 0, 1, 0
29, 2, 10, 128, 0, 1, 1, 1
30, 3, 10, 128, 1, 0, 1, 2
31, 2, 4, 256, 1, 1, 1, 0
32, 1, 10, 128, 1, 0, 1, 2
33, 1, 10, 256, 1, 1, 1, 0


